Time,Min_state_1,Max_state_1,Min_state_2,Max_state_2,Min_state_3,Max_state_3,Min_state_4,Max_state_4,Min_state_5,Max_state_5,Min_state_6,Max_state_6
0.339639274163238,0.127561621697262,0.445087974199254,0.357644985377158,0.753673588185165,0.49839488282935,0.840942101484354,0.459118545524219,0.811969882857721,0.509903549561695,0.566559499512994,0.473685653024398,0.526583264902123
0.341139737780322,0.127830681109695,0.44462898419225,0.358632187066838,0.754706040381273,0.499577333095278,0.841901728677398,0.460308355208272,0.813008785458359,0.508625253704679,0.565139170782977,0.472339418522061,0.525105716481569
0.342644579399988,0.128099640382327,0.444166991930975,0.359619744431609,0.755737199724965,0.500755494406567,0.842856446728669,0.461496815937788,0.814045718825096,0.507346446716609,0.563718274129566,0.470992799513661,0.523627821118176
0.344152272190047,0.128368239884507,0.44370247327405,0.360606658489966,0.756765993855552,0.501928134686432,0.843805252191237,0.46268271573582,0.815079619619069,0.506068441186593,0.562298267985103,0.469647176573708,0.522151094149085
0.345664421014505,0.12863673966498,0.443234983248988,0.36159397873551,0.757793502337823,0.50309646583816,0.844749111882901,0.463867309837739,0.816111580409164,0.504789892043873,0.560877657826526,0.468301132064498,0.520673977926196
0.347179489365344,0.128904879938991,0.442765004022114,0.362580705641312,0.758818653616273,0.504259263258476,0.845687031104422,0.465049388166145,0.817140541078993,0.503512113916029,0.559457904351144,0.466956048436767,0.519197989661498
0.348699087565032,0.129172919888406,0.442292085298814,0.363567886423543,0.759842521662752,0.50541772579095,0.846619962905972,0.466230199711235,0.818167587120486,0.502233764365583,0.558037515961759,0.465610511172219,0.517721575306669
0.35022166662785,0.129440599157278,0.441816716314174,0.364554509081718,0.76086404415052,0.506570634460625,0.847546919920259,0.467408534239935,0.819191659880576,0.500956162296659,0.556617958107399,0.464265906956663,0.516246256539484
0.35174883981441,0.129708175640428,0.44133844237661,0.365541617398151,0.761884287452419,0.507719173170874,0.848468839918577,0.468585632641812,0.820213836158175,0.499677970011014,0.555197744456682,0.462920826597875,0.514770485328351
0.353279053289921,0.129975389703985,0.440857757434935,0.366528210340114,0.762902185245404,0.508862134664891,0.849384747809451,0.469760290560459,0.821233064050986,0.498400504160565,0.553778337956184,0.46157665414916,0.513295780277829
0.354813925953286,0.130242498380878,0.440374201740562,0.367515329687841,0.763918798260613,0.510000689884962,0.850295567645937,0.470933742908845,0.822250413505209,0.497122429551486,0.552358255057207,0.460231983385039,0.511820596778037
0.356351896390219,0.130509242341852,0.439888274663913,0.368501974396045,0.764933063816312,0.511133641380823,0.851200335121009,0.472104789128974,0.823264837577391,0.495845062811297,0.550938958679219,0.458888198076895,0.510346452943774
0.35789458923489,0.130775877756148,0.439399511514312,0.369489184424682,0.765946037022461,0.512262147132354,0.852099960543014,0.473274658262017,0.824277399442401,0.494567071204132,0.549518968004591,0.45754389491005,0.508871807520857
0.359442016339457,0.131042398950327,0.438907934154461,0.370476964012919,0.766957696134109,0.513386164235759,0.852994396727064,0.474443344506919,0.825288088977702,0.493288466726148,0.548098296362387,0.456199085366314,0.507396672334669
0.360994136449525,0.131308791742132,0.438413580861435,0.371465283350778,0.767967985082878,0.514505611568791,0.853883566247235,0.475610802342656,0.826296861715173,0.492009305143362,0.546677005714847,0.454853826959813,0.505921109716862
0.36255091583891,0.131575043233547,0.437916487931265,0.372454115635192,0.768976855406468,0.515620414436638,0.854767396934949,0.476776992649375,0.82730367887909,0.490729635645951,0.545255150717723,0.453508170278163,0.504445174375339
0.364112325735991,0.131841141384126,0.437416690425585,0.373443439536486,0.769984260322637,0.516730502558468,0.85564582025519,0.477941880674434,0.82830850560839,0.48944950303521,0.543832781150234,0.452162161286004,0.502968915924225
0.365678347749766,0.132107075856913,0.436914220463038,0.374433240566134,0.770990160165246,0.517835813760345,0.856518774183009,0.479105439974886,0.829311314348116,0.488168943344646,0.542409937049607,0.450815836724686,0.50149237383754
0.367248963244517,0.132372836318433,0.43640911045598,0.375423504245955,0.771994515491226,0.518936286292195,0.857386197123234,0.480267644415346,0.830312077917242,0.486887992604806,0.540986658449785,0.449469233330637,0.500015587566628
0.368824156036374,0.132638412864016,0.435901392265491,0.376414217698657,0.772997288907505,0.520031860706511,0.858248029383449,0.481428470151955,0.831310771220082,0.485606684649431,0.539562982943812,0.448122385530175,0.49853859401115
0.370403912425131,0.132903796017534,0.435391097173169,0.377405369808402,0.773998444896041,0.521122479820412,0.859104213132039,0.482587895616893,0.832307371226592,0.484325051115332,0.538138945683703,0.446775325441127,0.49706142752167
0.371988213090311,0.133168975462912,0.434878258391112,0.378396946069096,0.774997944725931,0.522208083121481,0.85995468802529,0.483745895571948,0.833301851848631,0.483043128016972,0.536714586685524,0.445428089783467,0.495584127481876
0.37357705478604,0.133433943430208,0.434362904292385,0.379388942122903,0.775995760207636,0.523288621617373,0.860799402790057,0.484902456941156,0.83429419756883,0.481760938201181,0.535289931334646,0.444080701441964,0.494106718081551
0.375170434163565,0.133698692149534,0.433845063414187,0.380381353585784,0.776991863325483,0.524364046545539,0.861638306371002,0.486057566872874,0.835284393140873,0.480478504522142,0.533865005024602,0.442733183315629,0.492629223512627
0.376768353241493,0.133963214696039,0.433324762735182,0.381374179413596,0.777986229677042,0.525434313029588,0.862471350763724,0.487211216679589,0.836272426971512,0.479195845454651,0.532439828282946,0.441385553709693,0.491151662914734
0.378370813981855,0.134227504142938,0.432802029358877,0.382367418639732,0.778978834974267,0.526499376352432,0.863298488105056,0.488363397868842,0.837258287702347,0.477912979487596,0.531014421652885,0.440037830953418,0.489674055441553
0.379977823791513,0.134491554404978,0.432276888775098,0.383361073518134,0.779969658464142,0.5275591955756,0.864119673464533,0.489514106072746,0.838241967576726,0.476629920736369,0.529588800818188,0.438690028791968,0.488196415206702
0.381589387308529,0.134755358971576,0.431749367433342,0.384354835202049,0.780958677804227,0.528613728047679,0.864934860589597,0.490663335127002,0.839223457356784,0.475346685532278,0.528162983924753,0.43734216330967,0.486718758878065
