Time,traj_1,traj_2,traj_3,traj_4,traj_5,traj_6,traj_7,traj_8,traj_9,traj_10,traj_11,traj_12,traj_13,traj_14,traj_15,traj_16,traj_17,traj_18,traj_19,traj_20
1.35,0.0594987490212831,0.059302874995872,0.0624147087527566,0.0605581200410527,0.0620424371580028,0.0563800414021369,0.057671916814566,0.0575695636769104,0.0604105194773016,0.0600155899349087,0.0597406990294297,0.0591472220056573,0.0564507385909245,0.0603010467848777,0.0614374078620818,0.0598740652823986,0.0557432380042043,0.0580589565706849,0.0573785401470846,0.0573149145046304
1.4,0.053288157353174,0.0527672375687145,0.0555312765339713,0.0537135703596364,0.0549715088618437,0.0500151989744254,0.0514183657481929,0.0510614718010043,0.0535252977385888,0.0532136381733639,0.0530727994150909,0.0527283799504088,0.0501952358268571,0.0537389053891136,0.0546928369754829,0.0530197635976604,0.0498034419905679,0.0517811575041214,0.0512195713973869,0.0507326681843813
1.45,0.0470892566546456,0.0469222817482745,0.0493194085062609,0.047836754517162,0.0489555232701561,0.0443415166991624,0.0456171203575703,0.0453895557745285,0.0476834170537629,0.0473757955474643,0.0471945233755722,0.0467863382436381,0.0443837549831304,0.0477622742183593,0.0484487309849169,0.0472776215494153,0.0440744661146093,0.0457514604720369,0.0453826877159068,0.0451288827412224
1.5,0.0420086386856559,0.0415505626426458,0.0438110464034056,0.0422871182351069,0.0434295539508113,0.0393935260311234,0.0404611190729429,0.0400496232187188,0.0421113835599504,0.042065907891404,0.04194216474846,0.0415531955395595,0.0395279865267886,0.0424555531066257,0.0431839739443995,0.0418422706802489,0.0392420103287027,0.0408192940715963,0.0403143121123946,0.0400172552938305
1.55,0.0371945991975268,0.0369936650402726,0.0387114405448144,0.0376567166959157,0.0384775577462008,0.0347502341143164,0.0359481095445793,0.0356566177878581,0.0375233137881419,0.0372657884468731,0.0371080888032064,0.0369039837558053,0.0349144708938084,0.0376727876922963,0.0381701453537564,0.0371219700816765,0.0347234407284945,0.0360702004078614,0.0357647537677077,0.0354005534886391
1.6,0.0330120754952472,0.032655715339613,0.0344563906263678,0.033326890815987,0.0341872932559126,0.0309321720793097,0.0317029010402827,0.0315153554214165,0.0331548013587205,0.0331348255929783,0.0330276894112491,0.0326419065576998,0.0310304275945015,0.0333203444801954,0.0339772696004082,0.032922074687758,0.0307474142467931,0.0320105688401115,0.0316197368438033,0.0314505475529318
1.65,0.0292729973487165,0.029078518848179,0.0304434367774663,0.0295375577293055,0.0301425334351115,0.0272993766716476,0.0282266371498858,0.0279175940212024,0.0293743645075055,0.0292237037520391,0.0291540673464436,0.0289829967562437,0.0274307264475912,0.0296279769932149,0.0300715115127671,0.0290308762879616,0.0272685677021454,0.0283481231619859,0.028101603938777,0.0277361948030913
1.7,0.0258500625688934,0.025684621706737,0.0270006555692378,0.026189044842984,0.0268292875315238,0.0241659289599895,0.0249365980049146,0.0247029555182655,0.0260147033229917,0.0260217568630377,0.0259286344015284,0.0255714542246353,0.024227872900121,0.0261541224087053,0.0266489972500586,0.0258084800984391,0.0240248422038231,0.0250003102428299,0.0247697219540309,0.024638723987057
1.75,0.0229691251843461,0.0227374714190427,0.0239043871218033,0.0230890556794034,0.0236804022865947,0.0213803093490906,0.022091104507708,0.0217353998640752,0.0228963024217127,0.022970162813438,0.0229060750716096,0.0226778139560436,0.0214719416564197,0.0232165156261491,0.0235985434710141,0.022779757613678,0.0213345331450731,0.0221966645277194,0.0219754551219899,0.021756957789444
1.8,0.0202459328353497,0.0201327843101732,0.0210838741581658,0.0204890999213824,0.0209474779866384,0.01880431208946,0.0195389096915702,0.0192852672205365,0.0203355611364821,0.0203309702258109,0.0202474019555825,0.0200513092664252,0.0189132692369844,0.0205360008460853,0.0207779476706755,0.0201629951891399,0.0188399987621736,0.0195746005575217,0.0194161370831973,0.0192003027172329
1.85,0.0179355269748693,0.0177174640769509,0.0186890826600874,0.0180721227986235,0.0185357858729466,0.0166805960493086,0.0171908613372105,0.0170090423275939,0.017941300289341,0.0179917735044462,0.0179328262513834,0.0176761991503431,0.0167429282244082,0.0181294886709306,0.018449503455449,0.0178242137245563,0.0166320895325849,0.0173196945572406,0.0171108892647172,0.0170003668951528
1.9,0.0158486947062934,0.0157212494517093,0.0164698251704266,0.0159622216933834,0.0163053183004175,0.0147102308132891,0.0152485134272511,0.0149959211367794,0.0158384642835226,0.0158268363311635,0.015786865352897,0.0156719811019051,0.0147881310424097,0.0160572136926573,0.0162787224713742,0.0156711629955097,0.0147130174368952,0.0153009901664822,0.015162071612994,0.0149647952140773
1.95,0.0139425943901069,0.0138706693368755,0.014548851312588,0.0141181451223627,0.0144530960526784,0.0129647259426703,0.0134444555958423,0.0132663913291523,0.014001008808651,0.0140386131598995,0.0139855136426519,0.0137998401033171,0.0130046462934363,0.0141407464745867,0.0143677663064907,0.0138882051242294,0.0129441818967204,0.0134458126560924,0.0133532428738569,0.0132315825125067
2,0.0123589687314933,0.0122308266436483,0.0128575251586113,0.0124150608767093,0.0127488404001989,0.011458693290476,0.0118527788636526,0.011664725699421,0.012310581559834,0.0123822411239764,0.0123453578096699,0.0121886830917347,0.0115111300599225,0.012501861731984,0.0127136722722223,0.0122425837811536,0.0114394050300716,0.0119089312897816,0.0117969377613132,0.0116816866179898
2.05,0.0108886499619569,0.0108133998293041,0.0112996019041059,0.0109901611837425,0.0112264166350296,0.0100743099811042,0.0104828042912489,0.0102966489853465,0.0108770494312616,0.0109127751355189,0.0108651520310918,0.0107624455278142,0.0101336635120095,0.0110403548342654,0.0111795496132148,0.0107772985374139,0.0100935767918998,0.0104937550926855,0.010412572044682,0.0102566437590591
2.1,0.00960125611461263,0.00950925510000705,0.0100016416736269,0.00968647013258618,0.00992505336126304,0.00888422756390161,0.00921528511569295,0.00907970132973225,0.00959253918730181,0.00964622689175012,0.00961182624375339,0.00945261502515418,0.00891772530651474,0.0096966974580224,0.00988189752439543,0.00953145643787184,0.00885975720634876,0.00923055823419536,0.00914362384839713,0.00907707505473443
2.15,0.00847879180724277,0.00839137848489865,0.00881082386560027,0.00850869275028156,0.00872819257142903,0.00783626705975903,0.00813359201727234,0.0079663875676331,0.00841682372469413,0.0084816213520544,0.00845737513982881,0.00836011482233231,0.00787736203570729,0.00858927935748751,0.00871352605470061,0.00837952627308175,0.00784236468210309,0.00816135325438951,0.00808258928920616,0.00799011170290284
2.2,0.00744904922395368,0.00740258131719025,0.00773788751059531,0.00752371287408962,0.00769024650486981,0.00687722511721365,0.00717095438401303,0.00703877999952447,0.00744735722698822,0.0074798372430226,0.00744827583134784,0.007365944606596,0.00692182142555949,0.00756220657460774,0.00764418442350203,0.00738328903810237,0.00690149636514243,0.00717388715156735,0.00711925960573862,0.0070185445692254
2.25,0.00657136319914153,0.00649711193215939,0.00683905331264627,0.00661768167666018,0.00678546673531251,0.00607221518228929,0.00629074047920616,0.00619656029411007,0.00655201241964937,0.00659808669138094,0.00657565412836382,0.00646715994464327,0.0060993683372835,0.0066467835251652,0.0067642979470392,0.00651090884156497,0.00606043617613797,0.0063148504610608,0.00624706827162593,0.00620057104531914
2.3,0.00579211201429556,0.00574106539769528,0.006013314897838,0.00581912354307855,0.00595684240568637,0.0053440991831284,0.00555736294465936,0.00543320667810496,0.00575056369814328,0.00579093110744894,0.00577528292240959,0.00571379644991696,0.00537463471946394,0.00587096332338271,0.00595337266850839,0.00571325596938092,0.00535124994110007,0.00556840082818426,0.00552282417233136,0.00544938041903594
2.35,0.00508032720937017,0.00505264900017187,0.0052858993299684,0.00513685956303997,0.00525473950967822,0.00468128533749948,0.00489180985820263,0.00479748006106666,0.00507652141410509,0.00511333828410214,0.00509274674494519,0.00502251122968211,0.00471328751266362,0.00515920818771307,0.00522937837703744,0.00503789767454912,0.00470139435322041,0.00488620583084691,0.00485462649075803,0.00479212836434258
2.4,0.00448660960400782,0.00442764725810015,0.00466478661349105,0.00451005605676221,0.00462622204712055,0.00413268576823127,0.0042882887914622,0.00421512522487582,0.00445931254910113,0.00450040998601572,0.00448550521454062,0.00440987405715258,0.00415277113463923,0.00453861123238276,0.00461570302239723,0.00443643291768095,0.00413130686344755,0.00430393724630125,0.00426133228215591,0.00422410690030137
2.45,0.0039465796339116,0.00391061200155964,0.00409471915582388,0.00396683628970394,0.0040537275513322,0.00363238945935384,0.00378619817413188,0.00369496300710679,0.00391614339749442,0.00394238910706297,0.00393189570172292,0.00389102100010441,0.00365466315489491,0.00400295652788931,0.00405386098521719,0.00388761848290583,0.00364332393145753,0.00379048138000711,0.00375867532299245,0.00370556944810676
2.5,0.00345579369240116,0.00343679287632505,0.00359988058184815,0.00349428497711439,0.00357528099570146,0.00318147930591308,0.00332637157098222,0.0032594319669729,0.00345326858509878,0.00348062034690017,0.00346675454207104,0.00341624218556138,0.00320171366028998,0.00351212553345662,0.00356045073205013,0.00342819110829408,0.00319640615494203,0.0033219076598611,0.0032993456875708,0.0032577398775202
2.55,0.00305097721715567,0.00301325540028909,0.00317053935474041,0.003063621117612,0.00314372957048216,0.0028076633074547,0.00291515282917797,0.00286127161306034,0.00302949578652805,0.00305934748430541,0.00304947539177936,0.00300178430571937,0.00282253056492749,0.00308995736874165,0.00313895749308052,0.00301347504806725,0.00280860119647749,0.00292581629787737,0.0028973487621277,0.00286859679290532
2.6,0.00268045384988665,0.00265866368215019,0.0027794521809714,0.00269558508299627,0.00275210664673536,0.00246475356355114,0.00257144509812264,0.0025094064364272,0.00266001406593706,0.00267980543696025,0.00267044763008669,0.00264387020041259,0.00248053938655518,0.002720013961692,0.00275409650090838,0.00263714686067224,0.00247251348891759,0.00257241692259823,0.00255323342685787,0.00251434619971838
2.65,0.00234795782346164,0.00233353707952086,0.00244424384464199,0.00237241745778602,0.00242845524040825,0.00215805702480114,0.00225726978772849,0.0022102396298847,0.00234174790987283,0.00236497645978999,0.00235579059140977,0.00231776809389093,0.00217026179253028,0.00238338655957619,0.0024203122599296,0.00232596692914205,0.00216673980202431,0.00225166746240693,0.00223877521374951,0.00221142047014061
2.7,0.00207121966820664,0.0020454460546057,0.00215108149483917,0.00207808956199241,0.00213268111939127,0.00190159969068043,0.00197910918030085,0.00193773873458699,0.00205222520491085,0.00207615689645276,0.00206949600125583,0.00203549893199404,0.00191207679392677,0.00209742135606965,0.00213044483498071,0.00204315959179714,0.00190411499450707,0.00198343385109191,0.00196535050583052,0.0019447039789718
2.75,0.00181766043052195,0.00180186128644016,0.00188413752242052,0.00182777378860617,0.00186521478403101,0.00166794610132973,0.00174316498952353,0.00169819743023648,0.00180204800440803,0.00181800258239361,0.0018099500952171,0.0017914392617553,0.00167907587879576,0.00184494690688595,0.00186668517210147,0.001787055518495,0.00167527533883378,0.00174282566554319,0.00172938750422282,0.00170248078185447
2.8,0.00159152206143886,0.00158002900893465,0.00165616515356322,0.00160643079438909,0.00164435427831019,0.00146033332248001,0.00152826095836051,0.00149500612974756,0.00158564205102787,0.00160195707898057,0.00159570850112278,0.00156958296941418,0.00146835575007594,0.00161534605088924,0.00163941183253696,0.00157526089175637,0.00146706701315133,0.00152462037387051,0.00151497655829713,0.00149627202946354
2.85,0.00140194535700725,0.00138498449277226,0.00145563425802587,0.00140576400450958,0.00144295172577291,0.00128632957555955,0.00133890957827546,0.00131020938563686,0.00138870098383371,0.00140511724383236,0.00140065845214452,0.00137868957101421,0.00129377207211476,0.00142086917798539,0.00144211963508942,0.00138209127280208,0.00128848632873189,0.00134222681929381,0.00132988849382031,0.00131503845030121
2.9,0.0012293509185591,0.001219523242475,0.00127385008276892,0.00123633414826643,0.00126190389015604,0.00112755243838945,0.00117875639193355,0.0011482490440879,0.00121859952423392,0.00123036025439505,0.00122462245871448,0.00121209739288831,0.0011352438909828,0.00124826103241056,0.0012629991825908,0.00120778953179124,0.0011323339998044,0.00117809014428495,0.00116978658940018,0.00115084291178014
2.95,0.00107629295386096,0.00106867549814518,0.00111956647738489,0.00108624441011189,0.00111211455684404,0.000986412898767253,0.00103309059612237,0.00100991984042418,0.00107110307911149,0.00108374491609161,0.00107956381385066,0.00106091508641844,0.000991890240486167,0.00109192700276333,0.00110931777441516,0.00106436679867877,0.000990841978138295,0.00102970644397776,0.00102421805357951,0.00101142584952717
3,0.000947811970528709,0.000936069350384222,0.000983741433074894,0.00095017527059077,0.000975252095839158,0.000868020233610354,0.000905070434395376,0.000884318409862652,0.000937424168386524,0.000949962954545983,0.000946923654525016,0.00093103007910968,0.000873129193035984,0.000960318674017554,0.000974915943760403,0.000933626961616268,0.000870019470264112,0.000906305531600961,0.000898392159948298,0.000888245502117069
3.05,0.000830652387376357,0.000823380556308196,0.000860578580941657,0.000835000491904439,0.00085217568908791,0.000760500938355887,0.000796085603691781,0.000774162923184226,0.000822355283647759,0.000831157902741923,0.00082724841833745,0.000818237334674941,0.000765816190261272,0.000843444650605213,0.000853041323709405,0.000815795989303536,0.000764470513706213,0.000795351098219582,0.000789477111495311,0.000776702498291126
3.1,0.000726609901862121,0.000721113050758561,0.000755709682025037,0.000732965960329159,0.000750288945472568,0.000665045968058266,0.00069712075842433,0.000680815671803293,0.000722761217424151,0.000731382255189062,0.000728518626104747,0.000716067276112862,0.000669046873252154,0.000737581737056822,0.00074849875064456,0.000718254818590914,0.000668763105607353,0.000695054978369456,0.000690820860784003,0.00068188611586452
3.15,0.000639280975626623,0.000631418197068692,0.000663460959427529,0.000640733767572301,0.000657669247488789,0.000585243035860505,0.00061005488190565,0.000596141304578186,0.000632400545363021,0.000640772952646563,0.000638723213890161,0.000628277352855959,0.000588787116185108,0.000648128520058873,0.000657627536529811,0.000629534143780378,0.000586653522370625,0.000611193710609385,0.000605723495504552,0.000598699072872404
3.2,0.000560006249804804,0.000555390350773692,0.000580058452368934,0.000562846132488678,0.000574434233404301,0.000512609008041154,0.000536547771540259,0.000521705323902023,0.000554208692832776,0.000560421382097862,0.000557821941470923,0.000551824407738146,0.000516223667287489,0.000568777147724561,0.000575372098956214,0.000549567858067288,0.000515096136225673,0.000535975323315685,0.00053229685967303,0.000523515636953579
3.25,0.000489649775449679,0.000486273582757698,0.000509149576110132,0.000494082152738585,0.000505782865888944,0.000447755425239137,0.000469855955951296,0.000458543766158117,0.000486749255263318,0.000493156627570758,0.000491227333690482,0.000482593236710362,0.000450722430267073,0.000497091298984247,0.000504721161749894,0.000483767540116826,0.000450396809058023,0.000468120842869652,0.000465699551132846,0.000459447721336838
3.3,0.00043083471137746,0.00042532833087056,0.000447034612029821,0.000431885742843846,0.000443211240350839,0.000393780460559236,0.000411024907722302,0.000401285672399298,0.000425726488000351,0.00043194047049253,0.000430532551596943,0.000422913026980742,0.000396172067031525,0.000436608697045223,0.000443212411491394,0.000424052616277571,0.000394890980737413,0.000411431396108042,0.000407883436482304,0.000403256358228146
3.35,0.000377372767568168,0.000373866003554021,0.000390843208026493,0.00037900350738618,0.000386783258335604,0.00034483772655778,0.00036139500964202,0.000350700952472245,0.000372875759215759,0.000377349867141924,0.000375779185913111,0.000371437137923059,0.000347302304578932,0.000383189148407854,0.000387538559965454,0.000370230008515305,0.000346785218654463,0.000360854855484269,0.000358218822597168,0.000352374394737279
3.4,0.000329693076958698,0.000327244115592794,0.000342786070633307,0.000332483101476683,0.000340243088409314,0.00030101117886177,0.0003161696723825,0.000308299739729235,0.000327563130520961,0.000331847762458036,0.000330517874913438,0.000324883236805912,0.000303288652354854,0.000334927723927324,0.00033951888575228,0.000325700317753984,0.000303295664904137,0.000315230397678975,0.00031330111489446,0.000308926055639853
3.45,0.000289889037986535,0.000286054307917614,0.000300727831315828,0.000290449069147426,0.00029810784175531,0.000264810862643528,0.000276469256384011,0.000269873544559785,0.000286588976567884,0.000290587546575738,0.000289635407310224,0.000284568231880405,0.00026644389571007,0.000294058015798036,0.00029815135210974,0.000285182541537627,0.000265855907352625,0.000276977399873158,0.000274230607842739,0.000271102251530287
3.5,0.000253635558511222,0.000251512432919573,0.000262598356429642,0.000254814978468755,0.00026020552673992,0.000232056745897616,0.000242963354589759,0.000235710711885145,0.000250977171063448,0.000253702876132003,0.000252846405034052,0.00025009391386375,0.000233749843225208,0.000257761304568434,0.000260751758492738,0.000248840594473252,0.000233172989480469,0.000242576797088153,0.000240911975005421,0.000236920459055464
3.55,0.000221777282315321,0.000220291276726412,0.000230471485751979,0.000223568597015664,0.00022877309668649,0.000202636889763425,0.000212497793047378,0.000207476529950209,0.000220199843984117,0.000223177950929198,0.000222276285645275,0.0002181534435335,0.000203667651188517,0.000224711924503524,0.000228317926715266,0.00021890993740875,0.000203275225276269,0.000211554640300766,0.000210840851729573,0.000207662520115817
3.6,0.000194924640964103,0.000192672161132599,0.00020212871655945,0.000195378104924361,0.000200632904243126,0.000178046669972301,0.000185950922416996,0.000181035543857997,0.000191965339689605,0.000195598022067878,0.000194973946802484,0.000191579260026341,0.000179237338955746,0.000197757975511899,0.0002007350910761,0.00019154318591512,0.000178775866882958,0.000186149976666108,0.000184672733381523,0.000182434936749686
3.65,0.000170554680753997,0.000169116630991474,0.000176481408347257,0.000171601406418554,0.000175050727036464,0.000155214955457114,0.000163525700284155,0.000158763825561234,0.000168768011582488,0.000170924618814219,0.000170106325775392,0.000167769240838095,0.000156496229366113,0.000173131436041991,0.00017485762326635,0.000167417114587206,0.000156515189866196,0.000162769469310751,0.00016188599377528,0.000158669762709261
3.7,0.000149464801608583,0.000147227996845382,0.000155203312390632,0.000150071361501298,0.000153875719392753,0.000136382298846721,0.000142259510044952,0.000139059757503004,0.000147753410575811,0.000150081701196279,0.000149544509520434,0.000146433041470653,0.000137198775374936,0.000151221220485036,0.000153780159233696,0.000147308377205523,0.000136675124097327,0.000142442849078221,0.00014101543231526,0.000139779405427523
